,,,,,
,"TABLE 109 : INTEREST RATES ON CENTRAL AND STATE 
 GOVERNMENT DATED SECURITIES",,,,
,,,,,
,(Per cent per annum),,,,
,,,,,
,Year,Central Government securities,,State Government securities,
,,Range,Weighted average,Range,Weighted average
,1,2,3,4,5
,2022-23   ,5.21 - 7.90,7.32,6.94 - 8.10,7.70
,2021-22   ,4.04 - 7.44,6.28,4.69 - 7.48,6.98
,2020-21   ,3.79 - 7.19,5.80,4.15 - 8.96,6.55
,2019-20   ,5.57 - 7.78,6.8538,5.78 - 8.23,7.2367
,2018-19   ,6.57 - 8.42,7.78,7.13 - 8.86,8.32
,2017-18   ,6.42 - 7.67,6.97,6.81 - 8.45,7.67
,2016-17   ,6.13 - 7.87,7.16,6.62 - 8.09,7.48
,2015-16   ,7.54 - 8.27,7.89,7.95 - 8.88,8.28
,2014-15   ,7.65 - 9.42,8.51,8.00 - 9.66,8.58
,2013-14   ,7.16 - 9.40,8.45,7.57 - 9.94,9.18
,2012-13   ,7.86 - 8.82,8.36,8.42 - 9.31,8.84
,2011-12   ,7.80 - 10.01,8.52,8.36 - 9.49,8.79
,2010-11   ,5.98 - 8.67,7.92,8.05 - 8.58,8.39
,2009-10   ,6.07 - 8.43,7.23,7.04 - 8.58,8.11
,2008-09   ,7.69 - 8.81,7.69,5.80 - 9.90,7.87
,2007-08   ,7.55 - 8.64,8.12,7.84 - 8.90,8.25
,2006-07   ,7.06 - 8.75,7.89,7.65 - 8.66,8.10
,2005-06   ,6.70 - 7.79,7.34,7.32 - 7.85,7.63
,2004-05   ,4.49 - 8.24,6.11,5.60 - 7.36,6.45
,2003-04   ,4.62 - 6.35,5.71,5.78 - 6.40,6.13
,2002-03   ,6.57 - 8.62,7.34,6.60 - 8.00,7.49
,2001-02   ,6.98 - 11.00,9.44,7.80 - 10.53,9.20
,2000-01   ,9.47 - 11.70,10.95,10.50 - 12.00,10.99
,1999-00   ,10.73 - 12.45,11.77,11.00 - 12.25,11.89
,1998-99   ,11.10 - 12.60,11.86,12.15 - 12.50,12.35
,1997-98   ,10.85 - 13.05,12.01,12.30 - 13.05,12.82
,1996-97   ,13.40 - 13.85,13.69,13.75 - 13.85,13.82
,1995-96   ,13.25 - 14.00,13.75,14.00,14.00
,1994-95   ,11.00 - 12.71,11.90,12.50,12.50
,1993-94   ,12.00 - 13.40,12.63,13.50,13.50
,1992-93   ,12.00 - 12.75,12.46,13.00,13.00
,1991-92   ,10.50 - 12.50,11.78,11.50 - 12.00,11.84
,1990-91   ,10.50 - 11.50,11.41,11.50,11.50
,1989-90   ,10.50 - 11.50,11.49,11.50,11.50
,1988-89   ,10.00 - 11.50,11.40,11.50,11.50
,1987-88   ,10.50 - 11.50,11.25,11.00,11.00
,1986-87   ,10.00 - 11.50,11.38,11.00,11.00
,1985-86   ,9.00 - 11.50,11.08,9.75,9.75
,1984-85   ,7.75 - 10.50,9.98,9.00,9.00
,1983-84   ,7.75 - 10.00,9.29,8.25 - 8.75,8.58
,1982-83   ,6.25 - 9.00,8.36,7.50,7.50
,1981-82   ,6.00 - 8.00,7.29,7.00,7.00
,1980-81   ,5.98 - 7.50,7.03,6.75,6.75
,,,,,
,Source : Reserve Bank of India.,,,,
